name,category,calories,price,veg,quantity,Total,user,date,diet
Paneer Bowl,Veg,350,80,Yes,1,80,Dhivya,2025-11-03 21:53:31,
Veg Sandwich,Veg,250,50,Yes,1,50,Dhivya,2025-11-03 21:53:31,
Masala Dosa,Veg,420,70,Yes,1,70,Dhivya,2025-11-03 21:53:31,
Lemon Rice,Veg,310,60,Yes,1,60,Dhivya,2025-11-03 21:53:31,
Paneer Bowl,Veg,350,80,Yes,2,160,dhivya,2025-11-03 21:55:14,
Veg Sandwich,Veg,250,50,Yes,1,50,dhivya,2025-11-03 21:55:14,
Lemon Rice,Veg,310,60,Yes,1,60,dhivya,2025-11-03 21:55:14,
Chicken Biryani,Non-Veg,560,120,No,1,120,dhivya,2025-11-03 21:55:14,
Grilled Fish,Non-Veg,480,150,No,1,150,dhivya,2025-11-03 21:55:14,
Fruit Salad,Veg,180,40,Yes,1,40,dhivya,2025-11-03 21:55:14,
Idli,Veg,220,35,Yes,1,35,dhivya,2025-11-03 21:55:14,
Paneer Bowl,Veg,350,80,Yes,2,160,Dhivya,2025-11-03 22:21:18,
Veg Sandwich,Veg,250,50,Yes,1,50,Dhivya,2025-11-03 22:21:18,
Masala Dosa,Veg,420,70,Yes,1,70,Dhivya,2025-11-03 22:21:18,
Lemon Rice,Veg,310,60,Yes,1,60,Dhivya,2025-11-03 22:21:18,
Chicken Biryani,Non-Veg,560,120,No,1,120,Dhivya,2025-11-03 22:21:18,
Grilled Fish,Non-Veg,480,150,No,1,150,Dhivya,2025-11-03 22:21:18,
Fruit Salad,Veg,180,40,Yes,1,40,Dhivya,2025-11-03 22:21:18,
Idli,Veg,220,35,Yes,1,35,Dhivya,2025-11-03 22:21:18,
Paneer Bowl,Veg,350,80,Yes,1,80,Dhivya,2025-11-03 22:28:11,
Veg Sandwich,Veg,250,50,Yes,1,50,Dhivya,2025-11-03 22:28:11,
Lemon Rice,Veg,310,60,Yes,1,60,Dhivya,2025-11-03 22:28:11,
Masala Dosa,Veg,420,70,Yes,2,140,Dhivya,2025-11-03 22:49:12,
Millet Rice Thali,Main Course,420,80,,1,80,Dhivya,2025-11-03 23:11:59,Vegetarian
